,Age,Gender,EducationBackground,EmpDepartment,EmpJobRole,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,MaritalStatus_Married,MaritalStatus_Single,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely
0,0.3333333333333333,1,4,5,18,0.4930892578200099,3,4,0.428713159194569,3,2,4,0.35355339059327373,0,0.08760781549913044,4,0.5976143046671968,2,2,0.7071067811865476,0.0,0.7559289460184545,0,3,0,1,0,1
1,0.6904761904761905,1,4,5,18,0.6252119378303329,4,4,0.22188042760228122,3,2,1,0.5,0,0.08760781549913044,4,0.8451542547285166,2,3,0.7071067811865476,0.2581988897471611,0.7071067811865476,0,3,0,1,0,1
2,0.5238095238095237,1,6,5,18,0.2818749196127708,4,4,0.32081583534655755,2,3,1,0.7905694150420948,1,0.7520313340409188,3,0.8451542547285166,2,3,0.9636241116594315,0.2581988897471611,0.9258200997725514,0,4,1,0,1,0
3,0.5476190476190477,1,0,2,11,0.4930892578200099,4,2,0.6780745361407008,2,5,4,0.6123724356957945,0,0.33050181128037237,2,0.9063269671749656,2,2,0.6546536707079771,0.8944271909999157,0.6546536707079771,0,3,0,0,0,1
4,0.9999999999999998,1,4,5,18,0.6841248007644112,4,1,0.8154122820092105,3,2,1,1.0,0,0.2524883305773973,4,0.5976143046671968,1,3,0.37796447300922725,0.3651483716701107,0.37796447300922725,0,3,0,1,0,1
5,0.21428571428571425,1,6,4,17,0.4930892578200099,2,4,0.03971647877237916,3,3,1,0.35355339059327373,0,0.7520313340409188,3,0.5669467095138407,4,2,0.7071067811865476,0.2581988897471611,0.7071067811865476,0,4,0,0,1,0
6,0.7619047619047619,1,4,5,14,0.41695744747641084,4,4,0.4137380018282135,3,1,2,0.9354143466934853,0,0.33050181128037237,4,0.3779644730092272,2,3,0.37796447300922725,0.3651483716701107,0.37796447300922725,0,3,1,0,0,1
7,0.23809523809523808,0,6,4,17,0.0,2,1,0.5987756501589669,1,1,2,0.9354143466934853,1,0.17163522633173867,4,0.5976143046671968,4,3,0.7071067811865476,0.44721359549995787,0.7071067811865476,1,3,0,1,0,1
8,0.42857142857142855,0,6,4,17,0.41695744747641084,3,1,0.5439201974284205,4,3,1,0.5,0,0.2524883305773973,1,0.5976143046671968,2,3,0.7071067811865476,0.0,0.5976143046671969,0,3,1,0,0,0
9,0.4761904761904761,0,6,4,17,0.0,3,3,0.7788967774992621,3,3,3,0.7071067811865475,1,0.2524883305773973,4,0.5976143046671968,4,4,0.0,0.0,0.0,0,3,0,1,0,1
10,0.6190476190476188,1,5,4,17,0.8891295212492031,3,1,0.3366903324977859,1,1,3,0.5,0,0.2524883305773973,3,0.5669467095138407,5,3,0.37796447300922725,0.2581988897471611,0.5345224838248488,0,3,0,1,0,0
11,0.6904761904761905,0,5,5,18,0.16693803762582812,3,4,0.3366903324977859,3,4,3,0.5,1,0.08760781549913044,4,1.0,2,2,0.37796447300922725,0.8563488385776752,0.9636241116594315,0,3,0,0,1,0
12,0.28571428571428564,1,4,5,18,0.956897313387092,5,3,0.9889170619128604,3,2,4,0.9354143466934853,0,0.8787148132409615,4,0.5976143046671968,2,2,0.7071067811865476,0.6831300510639732,0.7071067811865476,0,4,0,0,0,1
13,0.2619047619047619,1,6,5,14,0.4930892578200099,3,3,0.9889170619128604,3,1,3,0.35355339059327373,0,0.0,3,0.1889822365046136,6,3,0.0,0.0,0.0,0,3,0,1,0,1
14,0.5714285714285714,1,5,4,17,0.7659686901791849,3,3,0.45826049797802226,4,1,3,0.8660254037844385,1,0.08760781549913044,4,0.5,2,3,0.37796447300922725,0.3651483716701107,0.37796447300922725,1,3,0,0,1,0
15,0.380952380952381,0,5,4,17,0.41695744747641084,2,2,0.9553280774400781,3,2,3,0.6123724356957945,0,0.0,4,0.5976143046671968,2,3,0.2672612419124244,0.5163977794943222,0.4629100498862757,0,3,0,1,0,1
16,0.49999999999999994,0,0,2,9,0.16693803762582812,3,3,0.2556006329394469,4,2,2,0.5,0,0.33050181128037237,3,0.6546536707079771,3,1,0.4629100498862757,0.44721359549995787,0.6546536707079771,0,3,1,0,0,1
17,0.9047619047619047,1,5,4,17,0.4560832005096075,3,3,0.7788967774992621,3,4,4,0.9354143466934853,0,0.0,3,0.5976143046671968,1,2,0.7071067811865476,0.2581988897471611,0.2672612419124244,0,3,1,0,0,1
18,0.5238095238095237,0,5,4,17,0.09445792361080355,1,4,0.839394708589166,2,1,4,0.0,1,0.6864251998151587,4,0.4225771273642583,2,2,0.37796447300922725,0.3651483716701107,0.4629100498862757,0,4,0,1,0,1
19,0.21428571428571425,0,5,4,17,0.3752997625966106,3,4,0.428713159194569,2,2,1,1.0,0,0.6191573614805235,1,0.5669467095138407,2,1,0.6546536707079771,0.0,0.7071067811865476,0,3,0,1,0,1
20,0.2619047619047619,1,4,5,14,0.4930892578200099,3,4,0.8033139977203567,3,1,2,0.35355339059327373,0,0.2524883305773973,4,0.2672612419124244,2,3,0.37796447300922725,0.3651483716701107,0.37796447300922725,0,3,0,0,0,1
21,0.8333333333333333,1,6,4,17,0.3305439604971997,3,4,0.839394708589166,3,2,4,0.5,0,0.4790856076777603,4,0.823754471047914,4,3,0.37796447300922725,0.3651483716701107,0.37796447300922725,0,3,0,1,0,1
22,0.4047619047619047,0,6,4,12,0.09445792361080355,4,4,0.5158391468709258,3,2,1,0.5,0,0.0,1,0.7559289460184544,2,4,0.0,0.0,0.0,0,3,0,0,0,0
23,0.3333333333333333,1,6,4,17,0.8891295212492031,4,1,0.7665751172162649,3,2,4,0.35355339059327373,0,0.33050181128037237,4,0.5976143046671968,2,3,0.7559289460184545,0.5163977794943222,0.7071067811865476,0,3,1,0,1,0
24,0.380952380952381,0,6,4,17,0.41695744747641084,5,2,0.03971647877237916,3,2,1,0.6123724356957945,0,0.2524883305773973,3,0.5,3,3,0.0,0.0,0.0,0,3,0,0,0,1
25,0.8095238095238095,1,4,5,11,0.16693803762582812,4,3,0.020018417739105843,2,4,1,0.35355339059327373,0,0.0,1,0.5976143046671968,3,4,0.6546536707079771,0.2581988897471611,0.4629100498862757,0,4,1,0,0,1
26,0.35714285714285715,1,2,4,17,0.0,4,4,0.5439201974284205,3,1,4,0.35355339059327373,1,0.17163522633173867,3,0.5976143046671968,2,2,0.8017837257372732,0.6831300510639732,0.7559289460184545,1,3,0,1,0,1
